award_id,or
2211032, OR 
2133577, OR 
2141578, OR 
2317250, OR 
2205648, OR 
2228607, OR 
2314893, OR 
2225542, OR 
2153118, OR 
2115322, OR 
2228314, OR 
2228645, OR 
2335287, OR 
2145997, OR 
2147052, OR 
2318434, OR 
2149221, OR 
2226281, OR 
2222021, OR 
2228709, OR 
2228584, OR 
2335241, OR 
2228562, OR 
2303588, OR 
2228731, OR 
2317570, OR 
2208926, OR 
2200895, OR 
2318064, OR 
2314254, OR 
2228490, OR 
2221709, OR 
2228517, OR 
2218195, OR 
2231692, OR 
2146969, OR 
2214249, OR 
2228671, OR 
2233087, OR 
2232103, OR 
2233509, OR 
2228635, OR 
2050608, OR 
2126109, OR 
2221250, OR 
2344191, OR 
2217912, OR 
2150926, OR 
2109488, OR 
2300548, OR 
2301964, OR 
2216500, OR 
2114168, OR 
2150708, OR 
2150652, OR 
2150650, OR 
2150651, OR 
2150631, OR 
2137272, OR 
2150600, OR 
2341169, OR 
2150671, OR 
2226272, OR 
2224192, OR 
2231600, OR 
2232225, OR 
2233622, OR 
2241004, OR 
2221056, OR 
2235467, OR 
2153525, OR 
2137378, OR 
2217706, OR 
2338609, OR 
2338752, OR 
2325694, OR 
2225306, OR 
2304541, OR 
2210137, OR 
2143671, OR 
2331482, OR 
2330728, OR 
2310189, OR 
2335071, OR 
2348594, OR 
2225583, OR 
2349591, OR 
2233768, OR 
2303748, OR 
2154339, OR 
2341716, OR 
2236832, OR 
2318478, OR 
2151820, OR 
2300677, OR 
2324401, OR 
2335396, OR 
2211054, OR 
2232344, OR 
2121898, OR 
2237492, OR 
2327055, OR 
2222626, OR 
2322592, OR 
2224967, OR 
2033452, OR 
2323328, OR 
2216351, OR 
2303556, OR 
2222625, OR 
2223035, OR 
2312491, OR 
2247670, OR 
2245995, OR 
2310532, OR 
2213144, OR 
2228226, OR 
2146068, OR 
2338980, OR 
2153111, OR 
2326931, OR 
2203422, OR 
2239695, OR 
2228035, OR 
2141070, OR 
2302093, OR 
2223416, OR 
2236724, OR 
2234130, OR 
2341568, OR 
2341569, OR 
2233707, OR 
2327975, OR 
2246579, OR 
2236058, OR 
2311181, OR 
2221635, OR 
2307200, OR 
2225226, OR 
2243401, OR 
2247579, OR 
2315869, OR 
2215257, OR 
2147744, OR 
2228988, OR 
2330074, OR 
2310789, OR 
2146146, OR 
2155047, OR 
2344476, OR 
2317588, OR 
2330597, OR 
2233342, OR 
2148673, OR 
2236014, OR 
2236389, OR 
2236622, OR 
2222764, OR 
2315906, OR 
2317464, OR 
2222795, OR 
2316665, OR 
2201486, OR 
2150042, OR 
2316960, OR 
2142924, OR 
2211858, OR 
2150344, OR 
2337293, OR 
2341846, OR 
2227147, OR 
2416127, OR 
2213639, OR 
2214604, OR 
2310556, OR 
2318072, OR 
2241620, OR 
2247858, OR 
2247875, OR 
2241947, OR 
2318936, OR 
2308524, OR 
2208725, OR 
2301800, OR 
2244454, OR 
2327186, OR 
2142137, OR 
2325041, OR 
2137377, OR 
2344375, OR 
2309541, OR 
2217681, OR 
2247752, OR 
2224228, OR 
2224227, OR 
2224226, OR 
2206952, OR 
2303732, OR 
2231669, OR 
2214590, OR 
2333389, OR 
2214299, OR 
2149214, OR 
2338690, OR 
2245491, OR 
2247935, OR 
2149204, OR 
2243857, OR 
2149256, OR 
2303484, OR 
2150328, OR 
2401551, OR 
2232538, OR 
2232539, OR 
2232537, OR 
2317573, OR 
2341363, OR 
2243105, OR 
2147919, OR 
2405731, OR 
2316628, OR 
2324517, OR 
2335727, OR 
2309255, OR 
2335521, OR 
2141798, OR 
2135730, OR 
2215655, OR 
2234256, OR 
2218943, OR 
2333850, OR 
2314994, OR 
2205976, OR 
2301780, OR 
2218742, OR 
2318593, OR 
2331550, OR 
2318592, OR 
2153229, OR 
2318158, OR 
2232689, OR 
2225128, OR 
2140946, OR 
2216672, OR 
2303937, OR 
2321022, OR 
2240327, OR 
2240328, OR 
2126030, OR 
2225187, OR 
2212068, OR 
2236609, OR 
2247315, OR 
2147390, OR 
2140666, OR 
2325081, OR 
2313609, OR 
2234081, OR 
2247070, OR 
2215654, OR 
2204529, OR 
2217812, OR 
2145723, OR 
2301815, OR 
2345607, OR 
2215653, OR 
2334256, OR 
2247071, OR 
2304988, OR 
2314890, OR 
2219701, OR 
2302666, OR 
2225210, OR 
2216520, OR 
2215696, OR 
2330984, OR 
2310438, OR 
2400006, OR 
2310451, OR 
2231647, OR 
2215656, OR 
2243225, OR 
2322172, OR 
2204386, OR 
2243457, OR 
2338108, OR 
2324524, OR 
2317001, OR 
2244322, OR 
2200769, OR 
2200748, OR 
2149158, OR 
2149329, OR 
2055237, OR 
2339723, OR 
2128176, OR 
2208057, OR 
2339309, OR 
2234676, OR 
2327977, OR 
2302814, OR 
2220322, OR 
2149995, OR 
2225513, OR 
2244348, OR 
2244316, OR 
2219655, OR 
2325547, OR 
2308412, OR 
2234187, OR 
2340195, OR 
2054920, OR 
2150380, OR 
2216923, OR 
2200255, OR 
2325976, OR 
2403834, OR 
2209320, OR 
2202033, OR 
2228967, OR 
2327579, OR 
2200323, OR 
2140262, OR 
2246468, OR 
2333099, OR 
2333098, OR 
2335858, OR 
2150054, OR 
2317076, OR 
2324325, OR 
2150540, OR 
2246158, OR 
2334832, OR 
2315541, OR 
2418277, OR 
2322734, OR 
2312141, OR 
2238801, OR 
2246349, OR 
2227975, OR 
2315883, OR 
2208845, OR 
2200437, OR 
2217640, OR 
2320345, OR 
2322199, OR 
2334207, OR 
2334638, OR 
2334206, OR 
2240729, OR 
2204550, OR 
2338642, OR 
2330910, OR 
2332985, OR 
2314229, OR 
2219242, OR 
2228616, OR 
2203669, OR 
2329538, OR 
2214740, OR 
2237401, OR 
2203985, OR 
2320979, OR 
2225149, OR 
2144213, OR 
2239605, OR 
2228555, OR 
2302340, OR 
2327308, OR 
2209151, OR 
2150000, OR 
2301543, OR 
2334311, OR 
2324304, OR 
2334276, OR 
2332104, OR 
2216349, OR 
2216837, OR 
2318770, OR 
2333764, OR 
2246035, OR 
2141313, OR 
2300606, OR 
2247411, OR 
2213870, OR 
2240950, OR 
2201538, OR 
2203815, OR 
2222546, OR 
2224871, OR 
2203418, OR 
2320742, OR 
2137956, OR 
2137975, OR 
2244994, OR 
2201810, OR 
2219266, OR 
2233205, OR 
2121436, OR 
2215245, OR 
2219435, OR 
2321572, OR 
2219657, OR 
2219658, OR 
2307031, OR 
2326704, OR 
2337236, OR 
2332097, OR 
2326983, OR 
2122673, OR 
2144373, OR 
2215675, OR 
2219433, OR 
2229833, OR 
2302977, OR 
2328907, OR 
2240944, OR 
2243117, OR 
2223811, OR 
2220733, OR 
2241759, OR 
2244064, OR 
2321788, OR 
2327263, OR 
2144117, OR 
2240728, OR 
2230616, OR 
2210675, OR 
2416332, OR 
2416344, OR 
2331984, OR 
2331287, OR 
2334319, OR 
2334272, OR 
2303483, OR 
2152264, OR 
2332003, OR 
2329530, OR 
2244195, OR 
2222530, OR 
2131750, OR 
2142120, OR 
2242879, OR 
2204738, OR 
2324642, OR 
2313749, OR 
2325484, OR 
2130006, OR 
2244275, OR 
2334275, OR 
2141192, OR 
2322023, OR 
2322329, OR 
2121364, OR 
2209030, OR 
2222482, OR 
2318357, OR 
2321623, OR 
2227916, OR 
2400680, OR 
2308200, OR 
2245265, OR 
2312594, OR 
2227307, OR 
2244715, OR 
2221771, OR 
2237814, OR 
2149257, OR 
2221912, OR 
2316364, OR 
2344903, OR 
2203860, OR 
2220836, OR 
2410022, OR 
2342550, OR 
2338676, OR 
2310326, OR 
2344357, OR 
2222289, OR 
2141281, OR 
2326257, OR 
2243163, OR 
2214455, OR 
2327372, OR 
2322178, OR 
2202639, OR 
2209643, OR 
2305495, OR 
2142314, OR 
2142381, OR 
2229008, OR 
2223907, OR 
2241350, OR 
2321316, OR 
2219807, OR 
2231681, OR 
2233251, OR 
2147138, OR 
2147137, OR 
2141956, OR 
2141988, OR 
2142628, OR 
2335009, OR 
2214387, OR 
2244460, OR 
2314858, OR 
2207028, OR 
2304358, OR 
2301936, OR 
2326962, OR 
2417580, OR 
2225211, OR 
2402471, OR 
2302609, OR 
2130277, OR 
2334679, OR 
2219650, OR 
2142122, OR 
2414651, OR 
2322593, OR 
2200484, OR 
2325760, OR 
2331975, OR 
2244705, OR 
2135734, OR 
2324413, OR 
2322535, OR 
2219558, OR 
2200456, OR 
2200365, OR 
2304456, OR 
2232491, OR 
2217637, OR 
2243394, OR 
2324359, OR 
2324414, OR 
2236579, OR 
2324412, OR 
2245530, OR 
2221423, OR 
2401066, OR 
2411530, OR 
2411529, OR 
2402003, OR 
2346631, OR 
2147727, OR 
2225201, OR 
2304837, OR 
2217532, OR 
2317424, OR 
2237564, OR 
2201808, OR 
2201255, OR 
2204743, OR 
2144374, OR 
2319234, OR 
2318338, OR 
2244283, OR 
2321390, OR 
2145961, OR 
2143173, OR 
2216167, OR 
2241057, OR 
2332699, OR 
2333228, OR 
2350239, OR 
2147305, OR 
2213826, OR 
2209257, OR 
2239445, OR 
2305516, OR 
2151035, OR 
2349250, OR 
2141345, OR 
2218671, OR 
2151122, OR 
2216438, OR 
2331072, OR 
2306759, OR 
2314184, OR 
2219314, OR 
2141721, OR 
2150106, OR 
2348499, OR 
2221052, OR 
2304420, OR 
2344806, OR 
2150484, OR 
2150363, OR 
2152288, OR 
2152303, OR 
2241522, OR 
2241521, OR 
2322319, OR 
2316034, OR 
2334337, OR 
2228603, OR 
2225948, OR 
2319137, OR 
2210107, OR 
2219562, OR 
2310457, OR 
2152456, OR 
2138040, OR 
2149750, OR 
2149748, OR 
2148920, OR 
2141916, OR 
2214995, OR 
2218607, OR 
2149747, OR 
2312413, OR 
2147325, OR 
2301570, OR 
2147284, OR 
2147258, OR 
2147194, OR 
2147193, OR 
2201019, OR 
2315596, OR 
2238564, OR 
2315879, OR 
2315709, OR 
2201020, OR 
2319501, OR 
2330437, OR 
2321215, OR 
2147256, OR 
2147946, OR 
2243983, OR 
2303074, OR 
2152834, OR 
2142490, OR 
2142594, OR 
2142439, OR 
2306226, OR 
2317764, OR 
2310967, OR 
2234708, OR 
2202290, OR 
2333737, OR 
2306085, OR 
2328254, OR 
2302720, OR 
2224973, OR 
2306150, OR 
2244423, OR 
2246236, OR 
2244427, OR 
2338365, OR 
2233805, OR 
2142783, OR 
2321087, OR 
2224177, OR 
2318013, OR 
2246411, OR 
2142503, OR 
2311961, OR 
2301090, OR 
2344507, OR 
2401291, OR 
2216852, OR 
2246034, OR 
2332606, OR 
2241023, OR 
2318184, OR 
2244772, OR 
2242530, OR 
2231280, OR 
2400749, OR 
2402308, OR 
2316830, OR 
2325516, OR 
2334509, OR 
2420094, OR 
2227820, OR 
2320707, OR 
2316958, OR 
2233905, OR 
2203664, OR 
2307048, OR 
2153747, OR 
2151351, OR 
2153749, OR 
2228188, OR 
2308599, OR 
2207348, OR 
2228213, OR 
2139987, OR 
2304076, OR 
2218139, OR 
2139986, OR 
2233004, OR 
2318343, OR 
2150886, OR 
2217891, OR 
2233395, OR 
2141326, OR 
2141328, OR 
2247282, OR 
2302436, OR 
2200633, OR 
2308706, OR 
2222529, OR 
2334957, OR 
2247283, OR 
2225832, OR 
2322497, OR 
2232475, OR 
2145398, OR 
2202065, OR 
2230770, OR 
2202051, OR 
2312863, OR 
2324487, OR 
2244553, OR 
2200990, OR 
2218904, OR 
2304322, OR 
2342700, OR 
2206997, OR 
2153108, OR 
2221046, OR 
2206996, OR 
2206140, OR 
2224644, OR 
2142189, OR 
2142174, OR 
2142143, OR 
2236466, OR 
2223676, OR 
2142153, OR 
2142187, OR 
2325593, OR 
2223689, OR 
2228620, OR 
2224303, OR 
2316317, OR 
2231078, OR 
2231632, OR 
2334431, OR 
2203457, OR 
2230000, OR 
2327032, OR 
2201796, OR 
2216286, OR 
2201798, OR 
2222393, OR 
2219522, OR 
2305721, OR 
2201799, OR 
2201797, OR 
2150091, OR 
2306625, OR 
2407056, OR 
2324552, OR 
2220912, OR 
2201663, OR 
2221298, OR 
2243398, OR 
2246036, OR 
2343306, OR 
2312129, OR 
2243328, OR 
2409848, OR 
2137168, OR 
2233683, OR 
2315595, OR 
2213443, OR 
2244450, OR 
2243434, OR 
2217021, OR 
2204540, OR 
2218045, OR 
2202038, OR 
2204389, OR 
2239664, OR 
2247976, OR 
2150520, OR 
2316831, OR 
2331219, OR 
2215138, OR 
2205573, OR 
2153776, OR 
2302815, OR 
2230504, OR 
2121376, OR 
2219043, OR 
2316809, OR 
2216592, OR 
2201305, OR 
2201306, OR 
2201307, OR 
2400028, OR 
2211243, OR 
2211242, OR 
2302976, OR 
2233124, OR 
2200066, OR 
2310205, OR 
2343682, OR 
2153730, OR 
2243491, OR 
2211993, OR 
2306577, OR 
2228242, OR 
2336207, OR 
2300497, OR 
2317077, OR 
2247399, OR 
2211994, OR 
2150195, OR 
2306263, OR 
2306262, OR 
2242643, OR 
2241701, OR 
2215003, OR 
2141007, OR 
2204741, OR 
2153410, OR 
2145520, OR 
2344570, OR 
2234206, OR 
2319512, OR 
2217189, OR 
2150358, OR 
2148556, OR 
2225209, OR 
2243220, OR 
2207372, OR 
2243339, OR 
2216567, OR 
2246111, OR 
2301066, OR 
2330015, OR 
2211811, OR 
2332525, OR 
2331502, OR 
2150347, OR 
2147136, OR 
2151046, OR 
2146278, OR 
2225362, OR 
2224262, OR 
2231254, OR 
2228471, OR 
2316265, OR 
2142638, OR 
2236093, OR 
2207299, OR 
2154938, OR 
2339338, OR 
2330305, OR 
2218846, OR 
2317254, OR 
2240309, OR 
2238030, OR 
2401305, OR 
2222375, OR 
2326276, OR 
2345076, OR 
2222234, OR 
2345084, OR 
2149281, OR 
2228849, OR 
2316747, OR 
2219635, OR 
2227544, OR 
2327153, OR 
2214718, OR 
2317572, OR 
2230648, OR 
2220835, OR 
2219614, OR 
2332037, OR 
2334391, OR 
2245762, OR 
2231905, OR 
2315905, OR 
2151027, OR 
2318730, OR 
2222147, OR 
2220296, OR 
2203727, OR 
2306176, OR 
2224946, OR 
2209429, OR 
2204537, OR 
2203917, OR 
2204073, OR 
2204431, OR 
2204305, OR 
2300380, OR 
2314101, OR 
2140246, OR 
2140867, OR 
2309293, OR 
2309294, OR 
2309297, OR 
2309295, OR 
2309292, OR 
2345086, OR 
2308660, OR 
2209419, OR 
2154923, OR 
2237142, OR 
2142846, OR 
2154028, OR 
2208697, OR 
2147116, OR 
2237007, OR 
2235794, OR 
2228259, OR 
2334059, OR 
2154547, OR 
2309847, OR 
2208818, OR 
2309936, OR 
2324899, OR 
2309290, OR 
2309296, OR 
2321946, OR 
2144121, OR 
2244403, OR 
2212324, OR 
2336387, OR 
2310013, OR 
2309289, OR 
2329405, OR 
2348279, OR 
2307307, OR 
2309291, OR 
2320148, OR 
2335060, OR 
2300800, OR 
2320147, OR 
2316382, OR 
2310698, OR 
2206602, OR 
2205900, OR 
2216898, OR 
2235863, OR 
2348711, OR 
2206264, OR 
2206263, OR 
2139310, OR 
2325608, OR 
2330886, OR 
2211784, OR 
2211785, OR 
2223756, OR 
2306044, OR 
2208189, OR 
2230355, OR 
2236491, OR 
2346567, OR 
2208182, OR 
2135329, OR 
2135328, OR 
2148731, OR 
2148730, OR 
2316849, OR 
2321234, OR 
2212438, OR 
2214516, OR 
2200506, OR 
2150299, OR 
2222810, OR 
2222730, OR 
2246364, OR 
2304844, OR 
2222670, OR 
2225180, OR 
2304213, OR 
2217718, OR 
2308532, OR 
2230462, OR 
2315432, OR 
2325316, OR 
2202016, OR 
2311369, OR 
2220890, OR 
2303986, OR 
2221890, OR 
2218110, OR 
2316986, OR 
2318276, OR 
2329910, OR 
2235560, OR 
2333305, OR 
2318274, OR 
2242443, OR 
2318277, OR 
2318275, OR 
2227918, OR 
2315269, OR 
2214952, OR 
2144072, OR 
2232647, OR 
2315346, OR 
2315720, OR 
2117083, OR 
2228162, OR 
2228135, OR 
2317317, OR 
2319639, OR 
2327418, OR 
2301038, OR 
2226007, OR 
2211818, OR 
2332232, OR 
2150204, OR 
2201929, OR 
2201930, OR 
2201466, OR 
2201083, OR 
2142330, OR 
2328241, OR 
2227258, OR 
2155070, OR 
2155071, OR 
2155072, OR 
2315480, OR 
2312932, OR 
2144915, OR 
2141955, OR 
2150369, OR 
2401203, OR 
2315909, OR 
2244129, OR 
2206803, OR 
2308358, OR 
2315755, OR 
2225223, OR 
2243471, OR 
2318288, OR 
2247689, OR 
2231654, OR 
2329473, OR 
2215353, OR 
2310305, OR 
2215700, OR 
2212050, OR 
2142671, OR 
2142383, OR 
2216687, OR 
2216694, OR 
2216513, OR 
2213735, OR 
2213733, OR 
2234973, OR 
2244674, OR 
2241751, OR 
2306556, OR 
2245323, OR 
2312930, OR 
2218421, OR 
2145277, OR 
2219389, OR 
2149899, OR 
2315868, OR 
2306717, OR 
2316896, OR 
2334197, OR 
2334196, OR 
2301350, OR 
2318546, OR 
2315399, OR 
2220898, OR 
2220358, OR 
2222880, OR 
2222881, OR 
2222476, OR 
2200648, OR 
2230610, OR 
2306658, OR 
2222475, OR 
2336815, OR 
2414792, OR 
2145340, OR 
2315400, OR 
2315401, OR 
2306265, OR 
2212690, OR 
2219365, OR 
2309335, OR 
2221479, OR 
2313996, OR 
2231419, OR 
2402193, OR 
2138242, OR 
2309184, OR 
2344788, OR 
2337943, OR 
2349179, OR 
2243955, OR 
2313644, OR 
2227091, OR 
2246372, OR 
2312738, OR 
2401544, OR 
2349611, OR 
2407094, OR 
2330533, OR 
2139265, OR 
2220907, OR 
2240885, OR 
2304106, OR 
2314600, OR 
2221637, OR 
2329292, OR 
2239629, OR 
2201611, OR 
2314599, OR 
2244455, OR 
2219623, OR 
2235568, OR 
2314597, OR 
2314598, OR 
2308622, OR 
2215258, OR 
2228533, OR 
2153690, OR 
2349755, OR 
2216629, OR 
2219953, OR 
2204746, OR 
2227756, OR 
2228510, OR 
2322341, OR 
2318290, OR 
2143882, OR 
2339761, OR 
2340482, OR 
2246079, OR 
2329684, OR 
2322073, OR 
2221994, OR 
2247929, OR 
2318413, OR 
2317283, OR 
2145861, OR 
2306067, OR 
2148715, OR 
2244453, OR 
2321195, OR 
2324594, OR 
2344020, OR 
2233912, OR 
2239834, OR 
2221996, OR 
2221995, OR 
2220724, OR 
2230036, OR 
2230636, OR 
2203578, OR 
2150727, OR 
2150680, OR 
2219443, OR 
2226451, OR 
